customerid;tenure
3179-GBRWV;21
6202-DYYFX;22
7534-BFESC;24
6851-WEFYX;35
2985-JUUBZ;40
0895-LMRSF;23
2240-HSJQD;38
0265-EDXBD;32
4091-TVOCN;48
7277-OZCGZ;22
3973-SKMLN;71
2840-XANRC;24
6745-JEFZB;35
9880-TDQAC;72
8626-PTQGE;69
4983-CLMLV;52
5697-GOMBF;28
9385-EHGDO;35
2379-GYFLQ;46
4322-RCYMT;68
6680-NENYN;43
2088-IEBAU;68
7982-VCELR;36
1343-EHPYB;63
7520-HQWJU;66
5924-SNGKP;41
6243-OZGFH;23
0513-RBGPE;37
0623-IIHUG;21
8984-EYLLL;64
5229-DTFYB;41
5176-LMJXE;47
9069-LGEUL;23
9571-EDEBV;71
3520-FJGCV;72
2805-EDJPQ;56
6862-CQUMB;37
9601-BRXPO;25
5651-CRHKQ;41
8204-YJCLA;72
6583-SZVGP;48
0533-BNWKF;55
1708-PBBOA;42
8782-LKFPK;44
3597-MVHJT;27
9774-NRNAU;27
3951-NJCVI;42
2977-CEBSX;66
0177-PXBAT;33
6599-CEBNN;34
2519-ERQOJ;33
0979-PHULV;69
7606-BPHHN;72
4742-DRORA;60
0111-KLBQG;32
4163-NCJAK;46
5233-AOZUF;29
5973-EJGDP;51
1996-DBMUS;48
4686-GEFRM;70
5249-QYHEX;40
2806-MLNTI;52
9063-ZGTUY;61
7781-HVGMK;72
6048-NJXHX;41
2320-SLKMB;26
4376-KFVRS;72
5886-VLQVU;35
0206-TBWLC;54
7752-XUSCI;60
0732-OCQOC;52
5760-WRAHC;22
8847-GEOOQ;60
0256-LTHVJ;28
8313-NDOIA;24
6614-VBEGU;24
1480-BKXGA;72
2996-XAUVF;70
5968-XQIVE;72
2359-KMGLI;24
3780-DDGSE;35
0447-BEMNG;48
5168-MQQCA;72
7971-HLVXI;72
3649-JPUGY;72
3552-CTCYF;63
8205-OTCHB;22
4513-CXYIX;71
7803-XOCCZ;52
5736-YEJAX;69
8535-SFUTN;61
8677-HDZEE;56
2475-MROZF;30
0257-ZESQC;27
5174-ITUMV;67
4109-CYRBD;29
8397-MVTAZ;34
8606-CIQUL;72
3571-DPYUH;58
0356-OBMAC;56
8067-NIOYM;24
1297-VQDRP;68
0621-HJWXJ;63
5844-QVTAT;33
8905-IAZPF;69
5394-MEITZ;60
6859-QNXIQ;72
7129-AZJDE;34
6986-IJDHX;39
2560-PPCHE;65
4676-MQUEA;50
3580-HYCSP;72
1352-HNSAW;72
1982-FEBTD;23
5301-GAUUY;32
5791-KAJFD;56
6815-ABQFQ;56
6103-LIANB;59
5846-NEQVZ;71
0939-YAPAF;35
7293-LSCDV;60
6030-REHUX;28
9548-LIGTA;61
6522-YRBXD;35
4568-KNYWR;52
0742-LAFQK;72
0619-OLYUR;72
0215-BQKGS;30
1710-RCXUS;51
0374-FIUCA;65
1096-ADRUX;66
2731-GJRDG;32
6689-VRRTK;44
7134-MJPDY;66
5240-CAOYT;57
0516-UXRMT;62
4851-BQDNX;40
3003-CMDUU;25
5099-BAILX;43
9411-TPQQV;40
7207-RMRDB;65
4913-EHYUI;56
4908-XAXAY;49
2391-IPLOP;50
8100-PNJMH;68
9565-FLVCG;65
5533-RJFTJ;49
5642-MHDQT;53
9092-GDZKO;22
0823-HSCDJ;52
3729-OWRVL;65
7501-IWUNG;61
7251-LJBQN;40
5313-FPXWG;51
6663-JOCQO;31
2682-KEVRP;22
0078-XZMHT;72
9978-HYCIN;47
8338-QIUNR;72
1525-LNLOJ;66
1766-GKNMI;29
7133-VBDCG;25
7596-ZYWBB;65
8329-UTMVM;27
3014-WJKSM;29
9661-JALZV;58
5575-TPIZQ;46
9944-AEXBM;32
1853-ARAAQ;26
6952-OMNWB;68
5244-IRFIH;33
2753-JMMCV;65
6439-GTPCA;45
1216-JWVUX;25
1307-TVUFB;42
7503-MIOGA;72
4381-MHQDC;47
4018-PPNDW;61
2499-AJYUA;72
6919-ELBGL;72
8405-IGQFX;63
8224-IVVPA;27
9477-LGWQI;70
5684-FJVYR;72
5175-WLYXL;22
8728-SKJLR;41
2037-XJFUP;33
8823-RLPWL;72
3758-CKOQL;59
5676-CFLYY;71
0285-INHLN;27
5125-CNDSP;63
0691-IFBQW;46
2202-OUTMO;34
3442-ZHHCC;68
3009-JWMPU;62
5671-RQRLP;70
8859-AXJZP;39
3174-AKMAS;46
9926-PJHDQ;72
2798-NYLMZ;71
4289-DTDKW;40
2239-JALAW;58
4853-RULSV;70
3196-NVXLZ;25
0036-IHMOT;55
0115-TFERT;21
4178-EGMON;70
4220-TINQT;61
5318-YKDPV;43
7975-TZMLR;47
4335-BSMJS;62
5337-IIWKZ;34
2672-TGEFF;37
4250-WAROZ;60
6092-QZVPP;36
0727-BMPLR;55
0392-BZIUW;72
6916-HIJSE;65
9778-OGKQZ;72
6007-TCTST;72
2252-NKNSI;52
2382-BCKQJ;62
5275-PMFUT;72
4124-MMETB;22
0979-MOZQI;62
1937-OTUKY;72
1573-LGXBA;57
5073-WXOYN;60
9342-VNIMQ;33
3199-NPKCN;67
5170-PTRKA;49
1258-YMZNM;27
7549-MYGPK;63
3804-RVTGV;50
6259-WJQLC;32
7997-EASSD;63
0730-KOAVE;30
8975-SKGRX;71
2267-FPIMA;50
5285-MVEHD;56
0835-JKADZ;71
3865-YIOTT;72
6024-RUGGH;72
3956-CJUST;23
4079-WWQQQ;72
6103-BOCOU;26
5149-TGWDZ;21
9199-PWQVC;63
0862-PRCBS;68
2692-AQCPF;65
7567-ECMCM;24
6353-BRMMA;54
9904-EHEVJ;32
7028-DVOIQ;35
5382-SOYZL;22
5651-YLPRD;32
5002-GCQFH;49
8919-FYFQZ;44
0604-THJFP;59
2834-JRTUA;71
6646-QVXLR;62
6461-PPAXN;35
2483-XSSMZ;39
9369-XFEHK;33
6641-XRPSU;34
1989-PRJHP;27
2858-EIMXH;53
8818-XYFCQ;32
6419-ZTTLE;23
7649-SIJJF;71
9361-YNQWJ;64
9391-TTOYH;23
7460-ITWWP;45
7147-AYBAA;37
7868-TMWMZ;60
8436-BJUMM;26
8329-GWVPJ;50
6445-TNRXS;68
4869-EPIUS;56
9948-YPTDG;38
4883-QICIH;32
3524-WQDSG;43
2829-HYVZP;29
7013-PSXHK;40
5981-ITEMU;40
0376-YMCJC;23
6100-FJZDG;26
4829-ZLJTK;72
0634-SZPQA;23
7030-NJVDP;24
5536-RTPWK;49
4194-WHFCB;59
4121-AGSIN;58
4361-BKAXE;41
9845-PEEKO;59
0301-KOBTQ;32
1751-NCDLI;46
5832-TRLPB;29
4607-CHPCA;25
7722-CVFXN;54
8717-VCTXJ;42
3391-JSQEW;40
7627-JKIAZ;37
3312-UUMZW;32
1271-UODNO;39
8461-EFQYM;38
6900-RBKER;52
6891-JPYFF;48
3696-XRIEN;50
0074-HDKDG;25
8111-SLLHI;39
9330-DHBFL;23
0098-BOWSO;27
3452-ABWRL;47
5859-HZYLF;26
1779-PWPMG;72
3522-CDKHF;32
8807-ARQET;41
8777-PVYGU;52
8292-ITGYJ;45
5268-DSMNQ;62
5334-JLAXU;60
6242-MBHPK;23
9359-UGBTK;67
4782-OSFXZ;71
4189-NAKJS;26
1282-IHQAC;70
9127-FHJBZ;72
6270-OMFIW;60
1641-RQDAY;32
5461-QKNTN;43
4835-YSJMR;39
8399-YNDCH;21
3164-YAXFY;57
0887-WBJVH;53
7670-ZBPOQ;58
0080-OROZO;35
6807-SIWJI;38
8221-HVAYI;35
5542-NKVRU;42
5370-IIVVL;37
3927-NLNRY;53
8268-YDIXR;56
0784-GTUUK;62
7979-CORPM;24
2294-DMMUS;62
2040-VZIKE;49
4525-VZCZG;54
1543-LLLFT;61
2120-SMPEX;25
0096-FCPUF;30
6507-ZJSUR;23
9408-HRXRK;45
2226-ICFDO;72
6818-WOBHJ;68
6244-BESBM;69
2612-PHGOX;64
2408-TZMJL;59
4598-ZADCK;53
9681-KYGYB;49
7182-OVLBJ;62
7005-CYUIL;71
4821-WQOYN;72
3452-FLHYD;25
2388-LAESQ;72
9531-NSBMR;36
4389-UEFCZ;72
8800-ZKRFW;30
3022-BEXHZ;67
6248-TKCQV;70
1291-CUOCY;72
9795-SHUHB;66
3230-IUALN;45
4945-RVMTE;28
1866-NXPSP;36
6393-WRYZE;34
3941-XTSKM;42
1661-CZBAU;48
6599-RCLCJ;47
9831-BPFRI;39
3161-ONRWK;60
4565-NLZBV;71
6682-VCIXC;43
4791-QRGMF;59
0661-WCQNQ;22
0121-SNYRK;50
3838-OZURD;66
7690-KPNCU;64
2293-IJWPS;57
2625-TRCZQ;51
7073-QETQY;66
7130-YXBRO;48
7721-JXEAW;59
4238-HFHSN;61
5478-JJVZK;33
7596-IIWYC;27
8999-YPYBV;45
1839-FBNFR;39
1697-BCSHV;58
0562-KBDVM;70
1131-SUEKT;61
4704-ERYFC;22
9432-RUVSL;48
8621-MNIHH;34
9885-AIBVB;29
2272-JKMSI;62
0471-LVHGK;41
9518-RWHZL;64
3569-EDBPQ;24
9337-SRRNI;66
5678-VFNEQ;71
5977-CKHON;43
2692-BUCFV;29
5223-UZAVK;64
4859-ZSRDZ;58
9350-VLHMB;67
3498-LZGQZ;63
8785-CJSHH;60
3870-SPZSI;70
8752-GHJFU;71
6718-BDGHG;43
9052-VKDUW;65
5777-KJIRB;40
2480-EJWYP;58
5514-YQENT;41
0222-CNVPT;52
5899-OUVKV;31
8681-ICONS;29
1621-YNCJH;36
6362-QHAFM;42
3070-BDOQC;60
8970-ANWXO;23
9480-BQJEI;62
7079-QRCBC;24
9495-SKLKD;45
5469-CTCWN;61
9851-QXEEQ;41
6281-FKEWS;44
9242-TKFSV;72
0743-HNPFG;51
2277-BKJKN;71
9809-IMGCQ;22
5035-PGZXH;56
6543-JXSOO;23
8016-ZMGMO;66
3128-YOVTD;51
1728-CXQBE;64
7041-TXQJH;37
5724-BIDBU;49
0481-SUMCB;45
8819-WFGGJ;68
2811-POVEX;23
9972-EWRJS;67
1921-KYSAY;41
2924-KHUVI;56
5766-XQXMQ;29
1656-DRSMG;63
7107-UBYKY;35
2882-WDTBA;69
2091-GPPIQ;72
2796-UUZZO;63
9798-OPFEM;46
3794-NFNCH;30
5193-QLVZB;63
2886-KEFUM;63
7776-QGYJC;39
9651-GTSAQ;53
6968-GMKPR;55
4751-ERMAN;72
5014-WUQMG;47
0993-OSGPT;68
2782-JEEBU;21
9906-NHHVC;65
3766-EJLFL;68
8152-UOBNY;50
8387-MOJJT;42
5327-CNLUQ;48
5816-JMLGY;70
2927-QRRQV;46
6032-KRXXO;30
7941-RCJOW;65
6374-NTQLP;72
3584-WKTTW;51
1971-DTCZB;72
3813-DHBBB;67
2812-REYAT;49
6518-PPLMZ;53
8017-LXHFA;23
5930-GBIWP;69
6352-TWCAU;35
6035-RIIOM;54
2929-QNSRW;56
6267-DCFFZ;30
2439-LYPMQ;38
1899-VXWXM;48
8883-ANODQ;68
5980-BDHPY;72
9469-WEJBT;37
3331-HQDTW;34
9490-DFPMD;42
7426-WEIJX;60
2851-MMUTZ;27
4163-KIUHY;35
3761-FLYZI;65
5364-XYIRR;51
9659-QEQSY;45
1442-OKRJE;66
9158-VCTQB;41
6311-UEUME;29
1060-ENTOF;67
5451-MHQOF;56
9225-BZLNZ;72
9365-SRSZE;27
6839-ITVZJ;26
5740-YHGTW;70
1696-MZVAU;39
4906-ZHGPK;54
1298-PHBTI;71
6223-DHJGV;42
6097-EQISJ;66
4423-YLHDV;21
0727-BNRLG;69
3280-MRDOF;30
9964-WBQDJ;71
6303-KFWSL;29
9060-HJJRW;51
5136-RGMZO;31
8646-JCOMS;66
1222-KJNZD;40
8952-WCVCD;41
2418-TPEUN;56
3963-RYFNS;72
1320-REHCS;52
4137-JOPHL;50
2057-BOYKM;72
3658-QQJYD;62
6950-TWMYB;54
5356-KZCKT;58
9470-XCCEM;35
0409-WTMPL;58
8763-KIAFH;27
3669-WHAFY;71
3144-KMTWZ;71
7279-BUYWN;41
2007-QVGAW;68
2307-FYNNL;65
5605-XNWEN;72
2155-AMQRX;28
2519-LBNQL;60
8623-ULFNQ;26
1568-LJSZU;68
7530-HDYDS;38
7789-HKSBS;42
7416-CKTEP;57
2348-KCJLT;44
8401-EMUWF;42
2474-LCNUE;23
2178-PMGCJ;22
2773-MADBQ;36
4816-LXZYW;23
9606-PBKBQ;32
5149-QYTTU;71
2070-XYMFH;23
4911-BANWH;31
5423-BHIXO;32
6908-VVYHM;65
2959-EEXWB;45
3402-XRIUO;22
3132-TVFDZ;57
6365-MTGZX;24
8058-DMYRU;54
6959-GQEGV;45
4115-UMJFQ;69
3537-RYBHH;47
5296-BFCYD;46
4510-PYUSH;38
4143-HHPMK;52
0523-VNGTF;52
7064-FRRSW;48
7940-UQQUG;64
3062-ICYZQ;51
0973-KYVNF;72
9637-CDTKZ;72
3946-JEWRQ;47
4524-QCSSM;26
5832-EXGTT;29
8840-DQLGN;35
7217-JYHOQ;24
6695-FRVEC;67
9281-PKKZE;46
3638-VBZTA;68
7776-QWNFX;30
1951-IEYXM;72
3143-ILDAL;56
1022-RKXDR;41
0129-QMPDR;44
7188-CBBBA;65
3221-CJMSG;24
4720-VSTSI;44
4623-ZKHLY;22
6732-VAILE;70
2123-VSCOT;59
6651-AZVTJ;49
4566-GOLUK;47
2484-DGXPZ;31
7409-JURKQ;53
7297-DVYGA;51
2239-CGBUZ;51
7449-HVPIV;55
5504-WSIUR;70
9614-RMGHA;65
0701-RFGFI;49
0019-EFAEP;72
3737-XBQDD;24
4445-KWOKW;42
3511-APPBJ;23
2430-RRYUW;66
3948-XHGNA;24
0565-IYCGT;69
5447-WZAFP;53
9675-ICXCT;72
5692-ICXLW;31
2208-MPXIO;45
0348-SDKOL;58
7710-JSYOA;69
5419-KLXBN;25
3424-NMNBO;58
9885-MFVSU;35
0266-CLZKZ;67
3858-VOBET;23
1447-PJGGA;57
8565-CLBZW;24
7639-OPLNG;70
6845-RGTYS;47
2546-KZAAT;52
1488-PBLJN;72
6481-OGDOO;67
9720-JJJOR;41
8100-HZZLJ;43
9172-JITSM;26
6298-QDFNH;22
7519-JTWQH;69
9961-JBNMK;21
1170-SASML;69
4872-JCVCA;71
2038-LLMLM;48
6173-ITPWD;47
1216-BGTSP;45
2189-UXTKY;22
7483-IQWIB;37
7996-MHXLW;66
7833-PKIHD;51
1852-QSWCD;64
4832-VRBMR;65
8624-GIOUT;49
6179-GJPSO;43
7901-TBKJX;56
5804-HYIEZ;70
9919-FZDED;72
5934-TSSAU;23
8290-YWKHZ;32
6661-EIPZC;48
2190-BCXEC;40
2153-MREFK;37
7422-WNBTY;33
7607-QKKTJ;45
7707-PYBBH;40
8984-HPEMB;71
9779-DPNEJ;22
9805-FILKB;46
8819-IMISP;31
8311-UEUAB;67
8035-BUYVG;40
1163-ONYEY;41
8945-MUQUF;51
4010-YLMVT;56
8894-JVDCV;62
2014-MKGMH;46
5628-FCGYG;21
2560-WBWXF;68
7978-DKUQH;25
0524-IAVZO;30
1784-EZDKJ;51
9297-FVVDH;57
7101-HRBLJ;72
4021-RQSNY;29
5453-YBTWV;70
2931-VUVJN;59
8220-OCUFY;21
2626-VEEWG;67
2878-RMWXY;72
7375-WMVMT;71
1136-XGEQU;50
2530-FMFXO;56
8879-XUAHX;71
3689-MOZGR;29
7622-FWGEW;56
6922-NCEDI;56
4815-YOSUK;72
2659-VXMWZ;67
0380-NEAVX;34
3207-OYBWH;57
5802-ADBRC;50
4312-GVYNH;70
8495-LJDFO;64
5494-WOZRZ;71
2234-EOFPT;72
8378-LKJAF;38
8182-BJDSI;28
1153-GNOLC;33
0788-DXBFY;58
3597-YASZG;70
8097-VBQTZ;54
9917-KWRBE;41
2212-LYASK;27
3398-GCPMU;72
2908-WGAXL;56
1013-QCWAM;66
0866-QLSIR;34
9554-DFKIC;30
7322-OCWHC;72
3126-WQMGH;49
7176-WRTNX;70
5732-IKGQH;52
9239-GZHZE;72
7205-BAIAD;40
0093-EXYQL;40
0320-JDNQG;23
3571-RFHAR;65
5334-AFQJB;72
1587-FKLZB;66
5440-FLBQG;69
6670-MFRPK;69
4800-CZMPC;48
7579-KKLOE;71
8402-EIVQS;67
4947-DSMXK;34
3324-OIRTO;71
5414-OFQCB;57
4967-WPNCF;72
8552-OBVRU;48
9154-QDGTH;43
8197-BFWVU;72
2577-GVSIL;35
1187-WILMM;63
9776-OJUZI;65
8949-JTMAY;29
0869-PAPRP;26
2809-ILCYT;25
5499-ECUTN;47
4612-THJBS;56
4094-NSEDU;21
0020-INWCK;71
5067-WJEUN;67
3450-WXOAT;46
2616-UUTFK;33
7989-AWGEH;49
6650-BWFRT;72
6993-YGFJV;69
5498-IBWPI;66
0013-SMEOE;71
9308-ANMVE;47
2884-GBPFB;35
3413-DHLPB;60
3787-TRIAL;21
2573-GYRUU;48
5136-KCKGI;33
8231-BSWXX;71
6486-LHTMA;31
0310-SUCIN;71
5197-PYEPU;42
3275-RHRNE;28
6901-GOGZG;60
9621-OUPYD;25
9898-KZQDZ;40
8982-NHAVY;27
0141-YEAYS;27
3893-JRNFS;68
5236-PERKL;57
0142-GVYSN;26
2519-FAKOD;38
8406-LNMHF;59
1821-BUCWY;30
6360-SVNWV;31
2171-UDMFD;32
1254-IZEYF;31
7602-MVRMB;72
5198-EFNBM;57
7516-GMHUV;50
6559-RAKOZ;49
2143-LJULT;67
1323-OOEPC;53
5630-IXDXV;47
9135-MGVPY;69
1088-AUUZZ;56
0397-GZBBC;59
7641-EUYET;46
1174-FGIFN;28
4701-MLJPN;31
1032-MAELW;68
6188-UXBBR;38
1134-YWTYF;27
1776-SPBWV;34
9668-PUGNU;71
9405-GPBBG;64
1926-QUZNN;72
5829-NVSQN;23
8922-LIEGH;25
8869-LIHMK;64
0447-RXSGD;24
5373-SFODM;36
0661-KBKPA;53
3133-PZNSR;72
3612-YVGSJ;71
9825-YCXWZ;41
8565-HBFNN;69
2000-DHJUY;70
7758-UJWYS;34
7055-JCGNI;70
0739-UUAJR;72
4826-DXMUP;35
0654-PQKDW;62
7175-NTIXE;25
8868-GAGIO;45
8263-QMNTJ;72
8178-EYZUO;46
3230-JCNZS;71
0407-BDJKB;60
9600-UDOPK;30
8216-AZUUZ;42
3269-ATYWD;39
1074-AMIOH;53
0354-WYROK;31
7748-UMTRK;30
3969-JQABI;58
8384-FZBJK;57
3096-YXENJ;65
1265-BCFEO;71
5837-LXSDN;21
5945-AZYHT;71
6384-VMJHP;72
7730-CLDSV;72
1135-HIORI;64
0164-APGRB;72
4446-BZKHU;61
3351-NQLDI;67
9297-EONCV;72
3336-JORSO;33
8766-PAFNE;71
5315-CKEQK;28
0880-FVFWF;56
0014-BMAQU;63
9018-PCIOK;55
4837-QUSFT;65
0907-HQNTS;70
6769-DCQLI;52
2433-KMEAS;22
4391-LNRXK;22
2195-ZRVAX;47
3550-SAHFP;33
5893-PYOLZ;56
6131-FOYAS;35
4873-ILOLJ;24
3301-LSLWQ;29
8780-YRMTT;66
5140-FOMCQ;59
6242-SGYTS;62
8166-ORCHU;33
8414-OOEEL;66
4531-AUZNK;51
8429-XIBUM;22
5440-VHLUL;69
8628-MFKAX;72
5445-GLVOT;22
0254-KCJGT;52
9508-ILZDG;34
6128-AQBMT;41
0431-APWVY;28
6838-YAUVY;54
0484-JPBRU;41
7274-CGTOD;62
4295-YURET;56
1169-SAOCL;49
7693-QPEFS;52
5074-FBGHB;64
2323-ARSVR;67
0815-MFZGM;42
9534-NSXEM;26
1229-RCALF;64
3572-UOLYZ;46
2634-HCZGT;53
7037-MTYVW;38
4760-THGOT;43
2790-XUYMV;71
0581-MDMPW;24
5013-SBUIH;50
1023-BQXZE;57
0058-EVZWM;55
1017-FBQMM;62
3001-CBHLQ;32
1985-MBRYP;43
3259-QMXUN;58
8433-WPJTV;65
3763-GCZHZ;66
0536-ACXIP;72
4884-LEVMQ;39
5993-JSUWV;66
5387-ASZNZ;66
7508-KBIMB;24
2277-DJJDL;60
1897-OKVMW;64
5485-ITNPC;66
0233-FTHAV;60
6963-EZQEE;70
2452-KDRRH;67
5226-NOZFC;26
0148-DCDOS;25
9992-RRAMN;22
0310-MVLET;61
0428-IKYCP;22
4550-VBOFE;70
4003-OCTMP;31
5248-RPYWW;72
7923-IYJWY;67
3170-GWYKC;60
8869-TORSS;48
7446-SFAOA;37
7765-LWVVH;72
5622-UEJFI;35
0674-DGMAQ;32
0484-FFVBJ;32
0301-FIDRB;72
4139-JPIAM;51
2181-TIDSV;68
3348-CFRNX;28
0106-UGRDO;69
8059-UDZFY;33
7740-BTPUX;55
5220-AGAAX;68
9435-JMLSX;71
3352-ALMCK;40
5312-IRCFR;64
6313-GIDIT;53
6176-YJWAS;72
4526-EXKKN;40
3404-JNXAX;51
5131-PONJI;49
2845-AFFTX;41
3489-VSFRD;56
5260-UMPWX;26
5649-RXQTV;51
5590-BYNII;22
4707-YNOQA;34
9357-UJRUN;24
9443-JUBUO;72
0596-BQCEQ;62
1481-ZUWZA;28
2960-NKRSO;24
8996-ZROXE;57
5266-PFRQK;52
9786-IJYDL;35
1303-SRDOK;55
6295-OSINB;72
8046-DNVTL;62
1891-FZYSA;69
2640-PMGFL;27
0516-QREYC;24
6022-UGGSO;32
3865-QBWSJ;38
2160-GPFXD;54
2065-MMKGR;29
5857-TYBCJ;44
1498-NHTLT;59
1208-DNHLN;23
3923-CSIHK;50
5795-KTGUD;68
7924-GJZFI;25
4702-HDRKD;67
5897-ZYEKH;67
5456-ITGIC;72
7317-GGVPB;71
9114-AAFQH;48
8715-KKTFG;61
5151-HQRDG;37
0960-HUWBM;65
6465-GSRCL;67
0263-FJTQO;50
7503-EPSZW;64
7089-XXAYG;25
8118-LSUEL;23
1666-JXLKU;37
7855-DIWPO;21
1810-BOHSY;51
9224-VTYID;47
9500-IWPXQ;61
5762-TJXGK;52
4504-YOULA;35
5569-IDSEY;71
5680-LQOGP;68
9931-DCEZH;28
1898-JSNDC;39
3911-RSNHI;71
4248-HCETZ;30
7271-AJDTL;55
1867-TJHTS;58
5038-ETMLM;72
5056-FIMPT;43
4521-WFJAI;56
8809-RIHDD;72
8809-XKHMD;72
0396-YCHWO;36
9844-FELAJ;70
5307-DZCVC;32
3148-AOIQT;69
1432-FPAXX;29
7080-TNUWP;70
3181-VTHOE;70
4803-AXVYP;38
4567-AKPIA;41
9909-DFRJA;26
2603-HVKCG;31
5148-ORICT;64
4893-GYUJU;50
4578-PHJYZ;52
8908-SLFCJ;21
8393-DLHGA;25
6968-MHOMU;58
3721-WKIIL;27
1265-ZFOSD;64
6568-POCUI;45
5197-LQXXH;71
7682-AZNDK;34
1231-YNDEK;58
3523-QRQLL;22
8564-LDKFL;40
0895-DQHEW;54
4717-GHADL;50
6772-WFQRD;40
3810-DVDQQ;72
8550-XSXUQ;48
0585-EGDDA;40
0549-CYCQN;51
3481-JHUZH;41
3567-PQTSO;53
6734-JDTTV;65
8853-TZDGH;72
9710-ZUSHQ;37
8123-QBNAZ;36
4827-LTQRJ;66
5482-VXSXJ;22
4183-WCSEP;31
2378-YIZKA;68
9722-UJOJR;29
2874-YXVVA;34
4293-ETKAP;65
6322-PJJDJ;49
1085-LDWAM;69
7586-ZATGZ;40
7197-VOJMM;67
3318-OSATS;35
9626-VFRGG;41
2229-VWQJH;24
4282-MSACW;68
7774-OJSXI;31
0136-IFMYD;69
6137-MFAJN;48
9659-ZTWSM;66
7657-DYEPJ;38
8276-MQBYC;51
0337-CNPZE;41
1335-HQMKX;72
2172-EJXVF;71
3623-FQBOX;21
3474-BAFSJ;57
5519-YLDGW;21
1855-AGAWH;31
7109-CQYUZ;52
1370-GGAWX;46
5307-UVGNB;53
2883-ILGWO;57
8879-ZKJOF;41
1474-JUWSM;58
8498-XXGWA;65
7636-PEPNS;58
4683-WYDOU;62
1642-HMARX;68
3096-WPXBT;61
8434-PNQZX;42
4299-OPXEJ;56
0744-GKNGE;64
1167-OYZJF;67
4806-DXQCE;70
7056-IMHCC;53
5294-DMSFH;29
1625-JAIIY;68
1063-DHQJF;69
8663-UPDGF;26
6719-FGEDO;72
1837-YQUCE;70
0369-ZGOVK;28
9919-KNPOO;21
8749-JMNKX;51
2430-USGXP;24
8174-TBVCF;70
1698-XFZCI;61
0428-AXXLJ;25
2746-DIJLO;41
0917-EZOLA;72
3508-VLHCZ;71
4086-ATNFV;34
0468-YRPXN;29
5996-NRVXR;40
7047-FWEYA;46
2000-MPKCA;58
5473-KHBPS;52
0100-DUVFC;70
5397-TUPSH;65
0326-VDYXE;70
6773-LQTVT;29
0436-TWFFZ;67
0311-UNPFF;26
6609-MXJHJ;30
2669-OIDSD;48
9576-SYUHJ;37
0410-IPFTY;31
9430-NKQLY;72
7599-FKVXZ;42
3982-DQLUS;65
3756-VNWDH;65
7673-LPRNY;23
2921-XWDJH;38
0975-UYDTX;26
4682-BLBUC;44
7730-IUTDZ;43
5443-SCMKX;58
8295-KMENE;59
6738-ISCBM;44
9821-BESNZ;66
2368-GAKKQ;70
6993-YCOBK;60
0748-RDGGM;70
5019-GQVCR;43
5889-JTMUL;50
2165-VOEGB;46
3612-YUNGG;64
1053-MXTTK;72
1301-LOPVR;29
6212-ATMLK;50
6897-RWMUB;61
0963-ZBDRN;32
6999-CHVCF;68
2045-BMBTJ;33
5998-VVEJY;26
6741-EGCBI;30
9677-AVKED;53
2227-JRSJX;21
8980-WQFWL;35
1730-ZMAME;32
6506-EYCNH;28
9501-UKKNL;59
2560-QTSBS;72
7541-YLXCL;36
6080-TCMYC;40
9447-YPTBX;50
7011-CVEUC;25
8623-TMRBY;51
3038-PQIUY;38
